"final_grade","age","address","studytime","schoolsup","famsup","paid","absences"
6.5,15,"R",4,"no","yes","yes",6
8,16,"U",3,"no","yes","yes",4
9.5,15,"U",1,"no","no","no",6
5,16,"R",3,"yes","yes","no",0
6.5,16,"U",2,"yes","no","no",6
9.5,15,"U",1,"no","no","no",10
4.5,15,"R",2,"no","no","no",8
8,16,"U",2,"no","yes","no",2
7,15,"U",2,"no","yes","no",2
6.5,16,"U",1,"no","no","no",0
4,17,"R",2,"no","yes","no",20
6.5,15,"U",1,"no","no","no",6
7.5,15,"U",2,"no","no","no",2
7.5,15,"U",4,"no","yes","yes",6
6.5,16,"U",2,"no","yes","yes",2
6.5,16,"U",1,"no","yes","no",18
4,16,"U",2,"no","no","yes",0
6,15,"U",1,"yes","no","no",0
5.5,15,"U",2,"yes","no","no",0
4.5,19,"U",2,"no","yes","no",2
0,18,"R",1,"no","yes","no",0
9,16,"R",1,"no","no","yes",8
0,15,"R",3,"no","yes","no",0
0,15,"U",1,"no","yes","no",0
6,17,"U",1,"no","yes","no",12
5.5,16,"U",1,"no","no","no",16
0,15,"R",2,"no","yes","no",0
0,15,"U",3,"no","yes","no",0
0,17,"R",2,"no","no","no",0
0,16,"U",1,"no","yes","no",0
6,16,"U",2,"no","no","no",0
7.5,15,"U",1,"no","no","no",0
0,15,"U",4,"yes","yes","no",0
4.5,16,"U",1,"no","yes","no",8
5.5,15,"U",3,"no","yes","yes",2
6.5,16,"U",1,"no","no","no",2
0,17,"U",1,"no","yes","no",0
5.5,15,"U",2,"no","yes","yes",0
0,15,"U",2,"no","yes","no",0
5.5,15,"U",2,"no","yes","yes",2
0,16,"U",1,"no","yes","no",0
5,15,"U",1,"no","no","no",0
0,18,"U",1,"no","no","no",0
7,16,"U",1,"no","no","no",6
5,15,"R",3,"no","yes","yes",8
0,19,"U",1,"no","yes","no",0
6,17,"U",1,"yes","yes","no",0
4,15,"R",2,"yes","no","yes",2
6.5,17,"R",1,"no","no","no",8
5,18,"R",1,"no","yes","no",6
7.5,16,"R",1,"no","no","no",2
6,16,"U",2,"no","yes","yes",4
0,17,"R",1,"no","no","no",0
3.5,15,"R",2,"yes","yes","no",6
0,16,"U",1,"no","no","no",0
5,17,"U",1,"no","no","no",2
3.5,17,"R",2,"no","no","no",0
6,16,"U",1,"no","yes","no",16
5,16,"U",2,"no","no","no",4
8,16,"U",2,"no","no","yes",0
0,16,"U",2,"no","yes","yes",0
7,16,"U",2,"no","yes","yes",0
0,16,"U",1,"no","yes","no",0
8,16,"U",2,"no","yes","yes",2
5,17,"U",2,"no","yes","yes",0
0,16,"U",2,"no","no","no",0
4.5,16,"U",2,"no","yes","yes",4
4.5,17,"U",2,"no","no","yes",4
5.5,16,"U",2,"no","no","yes",2
3,17,"U",2,"no","no","no",4
4.5,16,"R",1,"no","yes","no",10
5.5,17,"U",2,"no","yes","no",4
4,16,"U",2,"no","yes","yes",10
6,16,"U",2,"no","no","yes",2
8.5,17,"U",2,"no","yes","no",0
4,17,"U",2,"no","yes","no",56
6,16,"U",2,"no","yes","yes",14
5.5,17,"U",2,"no","yes","no",12
5.5,16,"U",1,"no","yes","yes",2
7.5,16,"U",2,"no","no","yes",0
4.5,17,"U",2,"no","yes","no",6
5,17,"R",2,"no","no","no",4
6.5,16,"U",2,"no","no","no",10
4.5,17,"U",2,"no","no","no",0
4,17,"U",2,"no","no","yes",12
5,16,"R",1,"no","yes","no",8
7,16,"U",1,"no","no","no",0
7.5,17,"U",2,"no","no","no",0
8,17,"U",1,"no","no","no",4
5,16,"R",1,"no","yes","yes",8
9,17,"U",1,"no","yes","no",24
5,16,"U",2,"no","yes","yes",0
8,16,"U",2,"no","yes","no",2
5,16,"U",2,"yes","yes","yes",6
5,17,"U",2,"no","yes","yes",4
3,17,"R",1,"no","yes","no",18
5.5,16,"R",4,"no","yes","yes",6
4.5,17,"U",3,"no","yes","yes",28
3.5,16,"U",2,"no","yes","yes",5
6.5,16,"U",2,"no","no","yes",10
5,16,"U",1,"no","yes","yes",6
3.5,17,"R",3,"no","yes","yes",6
4,19,"U",4,"no","yes","yes",10
6.5,17,"U",2,"no","yes","yes",13
7,16,"U",2,"yes","yes","yes",0
4,18,"U",2,"no","yes","yes",15
5,17,"R",1,"no","yes","yes",12
7.5,17,"U",2,"no","no","yes",2
2,17,"U",2,"no","no","yes",22
4,18,"U",2,"no","yes","yes",13
4,17,"U",1,"no","yes","yes",3
5,17,"U",3,"no","yes","yes",4
3,17,"R",2,"no","yes","no",2
0,17,"U",3,"no","yes","no",0
8.5,16,"U",2,"yes","no","no",2
6.5,18,"U",2,"no","yes","yes",0
7,16,"U",3,"no","yes","no",0
3.5,18,"R",2,"no","no","no",16
7.5,17,"U",2,"no","no","no",10
6,17,"U",2,"no","yes","yes",2
4.5,18,"U",2,"yes","yes","yes",14
6,17,"U",3,"no","no","no",10
7,17,"U",2,"no","no","no",14
5.5,17,"R",2,"no","yes","yes",4
4.5,17,"U",2,"yes","yes","no",14
6.5,16,"U",2,"no","yes","yes",2
3,16,"U",2,"no","yes","yes",18
5,16,"U",3,"no","no","no",10
6.5,17,"U",2,"no","no","yes",4
6,16,"U",1,"no","no","no",20
5.5,17,"R",2,"no","no","no",2
0,18,"U",2,"no","no","no",0
6,17,"U",2,"no","no","no",14
6,17,"R",2,"no","yes","yes",2
0,16,"U",1,"no","no","no",0
6,16,"U",1,"no","no","no",0
0,18,"U",3,"no","yes","yes",0
9,16,"U",1,"no","no","no",6
6.5,17,"U",1,"no","no","no",4
4,22,"U",1,"no","no","no",16
2.5,18,"R",2,"no","yes","no",8
7.5,16,"U",1,"no","no","yes",0
4,18,"U",1,"no","no","no",0
5,16,"U",2,"yes","yes","no",6
4,18,"U",1,"no","no","no",4
4,16,"R",1,"no","no","no",0
6,17,"R",1,"no","no","no",0
4,17,"U",1,"no","yes","no",2
6.5,17,"U",4,"no","yes","yes",6
5.5,19,"U",2,"no","yes","no",12
7,18,"U",2,"no","no","no",8
0,17,"U",4,"no","no","yes",0
9,18,"U",2,"no","yes","yes",21
4,18,"U",2,"no","yes","yes",2
6,18,"R",3,"no","no","no",1
4.5,17,"U",3,"no","no","no",4
0,18,"U",3,"no","yes","yes",0
8.5,18,"R",2,"no","yes","yes",13
5,17,"U",2,"no","no","yes",2
5.5,18,"R",2,"no","no","yes",8
5,18,"U",2,"no","yes","yes",10
0,18,"R",2,"no","yes","no",0
4.5,19,"U",2,"no","yes","yes",15
7,18,"U",4,"no","yes","yes",4
5.5,18,"U",2,"no","yes","yes",2
7,17,"R",2,"no","yes","yes",2
5,17,"U",2,"no","yes","yes",2
6,17,"U",2,"yes","yes","yes",6
4.5,18,"R",2,"no","no","no",75
4.5,18,"U",1,"no","no","yes",22
4,18,"U",2,"yes","yes","no",15
5,18,"U",1,"no","no","yes",8
4,17,"U",1,"no","no","yes",30
5,17,"U",1,"no","no","no",19
6,18,"R",4,"no","yes","yes",1
5,18,"U",2,"yes","no","no",4
5.5,17,"U",2,"no","yes","no",4
5.5,17,"U",2,"no","no","yes",2
9.5,18,"U",3,"no","yes","yes",5
6,17,"U",3,"no","yes","yes",6
7,18,"U",3,"no","no","yes",6
7.5,18,"U",2,"no","yes","yes",9
5.5,18,"U",2,"no","yes","yes",11
7.5,17,"U",3,"no","yes","yes",0
6.5,18,"U",2,"no","no","no",12
9,17,"R",4,"no","yes","yes",6
7,18,"R",3,"no","yes","yes",8
5.5,17,"U",1,"no","yes","yes",4
0,19,"U",2,"no","yes","yes",0
4,18,"U",2,"no","yes","yes",10
7,18,"U",4,"no","yes","yes",0
8,18,"U",1,"no","yes","yes",5
5.5,18,"U",2,"no","yes","no",14
5,17,"U",1,"no","no","yes",0
7,17,"U",3,"no","yes","yes",0
9,17,"U",4,"no","yes","yes",0
6.5,19,"U",2,"no","yes","no",20
6,18,"U",2,"no","yes","yes",8
9,20,"U",1,"no","no","no",0
4,19,"U",1,"no","yes","yes",38
6,19,"R",2,"no","no","no",0
5,19,"U",2,"yes","yes","no",18
0,19,"U",2,"no","no","no",0
6.5,19,"U",2,"no","yes","no",20
5.5,19,"U",2,"no","no","no",3
5.5,19,"U",2,"no","yes","yes",22
6.5,19,"U",3,"no","no","no",14
5.5,19,"R",3,"no","no","no",40
0,18,"U",2,"no","yes","yes",0
4.5,18,"U",3,"no","yes","yes",9
5,17,"R",3,"no","yes","yes",0
5.5,18,"U",2,"no","yes","yes",2
6.5,17,"U",2,"no","yes","yes",23
4.5,17,"U",2,"no","yes","no",12
5.5,17,"R",3,"no","yes","yes",3
7.5,17,"U",3,"no","yes","no",1
7.5,17,"U",3,"no","no","no",0
5.5,18,"U",3,"no","no","no",3
8,17,"U",1,"no","no","no",3
5,17,"R",1,"no","yes","no",8
4.5,17,"U",3,"no","yes","yes",7
7,17,"U",3,"no","yes","yes",4
4,18,"U",4,"no","yes","no",2
7,17,"R",3,"no","yes","no",7
0,18,"U",2,"no","no","no",0
0,18,"U",2,"no","no","no",0
0,18,"R",4,"no","no","no",0
7.5,17,"U",3,"no","no","no",16
6.5,19,"R",3,"no","no","yes",12
0,17,"U",2,"no","yes","yes",0
8.5,18,"U",4,"no","yes","no",7
5,17,"R",2,"no","yes","yes",4
5.5,19,"U",3,"no","no","yes",4
0,18,"U",2,"no","yes","no",0
7.5,18,"U",2,"no","no","no",11
0,17,"U",2,"no","yes","no",0
5,18,"U",3,"no","yes","no",4
7,18,"U",3,"no","no","no",7
8,18,"R",3,"no","no","no",9
4.5,18,"U",3,"no","yes","yes",0
7.5,17,"U",3,"no","yes","yes",0
6.5,18,"R",1,"no","yes","no",10
4,19,"R",2,"no","no","no",8
6.5,17,"U",2,"no","yes","yes",2
4,18,"U",1,"no","no","no",7
4,19,"R",1,"no","yes","no",4
5.5,17,"R",2,"no","yes","yes",4
4.5,18,"U",2,"no","yes","no",0
6.5,17,"R",2,"no","yes","yes",4
5.5,17,"U",2,"no","no","no",2
5,18,"U",1,"no","no","no",4
8,18,"U",3,"no","no","no",0
6.5,18,"R",2,"no","no","no",0
6,18,"R",2,"no","no","no",2
5,18,"U",2,"no","yes","no",0
7.5,17,"U",2,"no","yes","yes",0
6,17,"R",2,"no","no","no",0
5,18,"R",2,"no","yes","yes",4
6.5,18,"U",3,"no","no","yes",0
0,17,"R",1,"no","yes","yes",0
5,18,"U",1,"no","yes","yes",0
5.5,18,"R",2,"no","yes","yes",10
4.5,19,"U",2,"no","no","no",4
6,18,"R",1,"no","yes","yes",3
5.5,17,"U",3,"no","no","no",8
2.5,17,"R",1,"no","no","no",14
9.5,18,"R",3,"no","no","no",0
5,18,"R",3,"no","no","no",2
7.5,20,"U",3,"no","yes","yes",4
5,18,"R",2,"no","no","yes",4
7.5,18,"U",2,"no","no","yes",0
5,17,"R",2,"no","yes","yes",17
7,18,"U",2,"no","no","yes",4
3.5,18,"R",1,"no","no","no",5
5,17,"U",2,"no","no","no",2
0,19,"R",1,"no","no","no",0
2.5,18,"R",1,"no","no","yes",14
5,18,"R",3,"no","no","yes",2
3,18,"R",1,"no","yes","yes",7
0,19,"R",3,"no","no","no",0
4,18,"U",2,"no","yes","yes",0
0,18,"U",2,"no","no","no",0
4.5,20,"U",2,"no","yes","yes",11
8,17,"U",1,"no","no","no",3
3.5,21,"R",1,"no","no","no",3
5,18,"R",1,"no","no","no",0
4.5,19,"U",1,"no","no","no",5
